SUS1;SUS2;SUS3;SUS4;SUS5;SUS6;SUS7;SUS8;SUS9;SUS10
De acuerdo;En Desacuerdo;Completamente de acuerdo;En Desacuerdo;Completamente de acuerdo;En Desacuerdo;Completamente de acuerdo;Completamente en desacuerdo;En Desacuerdo;Completamente en desacuerdo;
De acuerdo;En Desacuerdo;De acuerdo;De acuerdo;En Desacuerdo;De acuerdo;Sin opinión;Sin opinión;Sin opinión;Sin opinión;
Sin opinión;Completamente en desacuerdo;De acuerdo;Completamente en desacuerdo;Sin opinión;Completamente en desacuerdo;De acuerdo;Completamente en desacuerdo;Completamente de acuerdo;En Desacuerdo;
Sin opinión;Completamente en desacuerdo;De acuerdo;En Desacuerdo;Sin opinión;Completamente en desacuerdo;En Desacuerdo;En Desacuerdo;Sin opinión;Completamente en desacuerdo;
Completamente de acuerdo;De acuerdo;Completamente de acuerdo;De acuerdo;Completamente de acuerdo;Sin opinión;Completamente de acuerdo;Sin opinión;Sin opinión;Sin opinión;
Sin opinión;Sin opinión;De acuerdo;De acuerdo;Completamente de acuerdo;En Desacuerdo;Completamente de acuerdo;Completamente de acuerdo;Completamente de acuerdo;Completamente de acuerdo;
Completamente de acuerdo;En Desacuerdo;Sin opinión;De acuerdo;Sin opinión;De acuerdo;De acuerdo;Sin opinión;En Desacuerdo;En Desacuerdo;
Completamente de acuerdo;De acuerdo;Sin opinión;En Desacuerdo;De acuerdo;En Desacuerdo;De acuerdo;En Desacuerdo;De acuerdo;En Desacuerdo;
De acuerdo;En Desacuerdo;Completamente de acuerdo;Completamente de acuerdo;De acuerdo;Completamente en desacuerdo;Completamente de acuerdo;Completamente en desacuerdo;De acuerdo;Completamente en desacuerdo;
Sin opinión;Sin opinión;Sin opinión;Sin opinión;Sin opinión;Sin opinión;Sin opinión;Sin opinión;Sin opinión;Sin opinión;
De acuerdo;Sin opinión;Sin opinión;Sin opinión;De acuerdo;Completamente en desacuerdo;Completamente de acuerdo;Completamente en desacuerdo;Sin opinión;Sin opinión;
En Desacuerdo;En Desacuerdo;De acuerdo;De acuerdo;En Desacuerdo;Completamente en desacuerdo;De acuerdo;En Desacuerdo;De acuerdo;En Desacuerdo;
De acuerdo;En Desacuerdo;En Desacuerdo;Sin opinión;Sin opinión;Sin opinión;De acuerdo;En Desacuerdo;Sin opinión;Completamente en desacuerdo;
Sin opinión;Completamente en desacuerdo;Completamente de acuerdo;En Desacuerdo;De acuerdo;Completamente en desacuerdo;De acuerdo;Completamente en desacuerdo;De acuerdo;De acuerdo;
